epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,883.584,0.79338,0.47888,1.21951,0.97669,0.93389,0.97177,0.71255,0.95225,0.45797,1.41545,0.000458,0.000458,0.000458
66,897.034,0.78542,0.47003,1.21704,0.93997,0.94519,0.96976,0.73986,0.91314,0.42251,1.40177,0.000445625,0.000445625,0.000445625
67,910.437,0.78872,0.48288,1.22103,0.95454,0.95833,0.98386,0.75713,0.92985,0.43422,1.38143,0.00043325,0.00043325,0.00043325
68,923.754,0.78081,0.47075,1.20457,0.9609,0.93116,0.97219,0.73777,0.93412,0.47707,1.40123,0.000420875,0.000420875,0.000420875
69,937.072,0.78403,0.47261,1.21077,0.96748,0.94479,0.97354,0.73269,0.96571,0.44446,1.40327,0.0004085,0.0004085,0.0004085
70,951,0.77367,0.46525,1.20492,0.97328,0.92374,0.9706,0.74369,0.91884,0.42392,1.37209,0.000396125,0.000396125,0.000396125
71,964.952,0.77118,0.46359,1.19829,0.95103,0.9167,0.97149,0.75149,0.93131,0.44062,1.39264,0.00038375,0.00038375,0.00038375
72,978.428,0.74211,0.45783,1.1937,0.91868,0.96996,0.98062,0.73188,0.96319,0.4359,1.41255,0.000371375,0.000371375,0.000371375
73,991.859,0.74777,0.45876,1.19381,0.95989,0.95833,0.97832,0.74924,0.91742,0.42391,1.3842,0.000359,0.000359,0.000359
74,1005.4,0.74774,0.45518,1.18961,0.98542,0.93703,0.97821,0.71801,0.95794,0.43115,1.42671,0.000346625,0.000346625,0.000346625
75,1019.12,0.74799,0.45169,1.18651,0.96559,0.95194,0.98667,0.74728,0.94146,0.42951,1.40017,0.00033425,0.00033425,0.00033425
76,1032.84,0.73579,0.44543,1.18589,0.95131,0.975,0.97458,0.74282,0.92722,0.42895,1.39063,0.000321875,0.000321875,0.000321875
77,1046.39,0.7351,0.44513,1.17989,0.97796,0.91719,0.98269,0.73175,0.94027,0.43841,1.42433,0.0003095,0.0003095,0.0003095
78,1060.01,0.73752,0.44379,1.17921,0.97087,0.91499,0.97255,0.73925,0.92512,0.41852,1.40773,0.000297125,0.000297125,0.000297125
79,1073.52,0.72352,0.44065,1.1781,0.98217,0.91778,0.97386,0.74856,0.91511,0.40656,1.39111,0.00028475,0.00028475,0.00028475
80,1087.04,0.7171,0.42642,1.16475,0.92526,0.99615,0.98923,0.74502,0.92252,0.41657,1.42498,0.000272375,0.000272375,0.000272375
81,1100.53,0.72079,0.42815,1.1709,0.98368,0.92653,0.97458,0.74272,0.92428,0.41902,1.40741,0.00026,0.00026,0.00026
82,1114.06,0.71659,0.42794,1.16437,0.99558,0.92497,0.97495,0.74052,0.91951,0.40929,1.42533,0.000247625,0.000247625,0.000247625
83,1127.41,0.70074,0.42246,1.16434,0.94554,0.97312,0.97651,0.75394,0.91326,0.40427,1.40367,0.00023525,0.00023525,0.00023525
84,1140.82,0.70966,0.42994,1.16953,0.92677,0.98316,0.98923,0.75276,0.89262,0.41545,1.37932,0.000222875,0.000222875,0.000222875
85,1154.16,0.69843,0.4175,1.15694,0.96117,0.97132,0.99083,0.74626,0.9211,0.4118,1.41902,0.0002105,0.0002105,0.0002105
86,1167.51,0.69205,0.41347,1.15017,0.96389,0.97477,0.97562,0.73441,0.94503,0.42146,1.42466,0.000198125,0.000198125,0.000198125
87,1180.86,0.68759,0.41781,1.15207,0.99806,0.95422,0.98923,0.75766,0.90591,0.39584,1.38343,0.00018575,0.00018575,0.00018575
88,1194.31,0.68169,0.41132,1.14938,0.96162,0.99612,0.99273,0.74828,0.91675,0.39852,1.40106,0.000173375,0.000173375,0.000173375
89,1207.66,0.67363,0.39996,1.1385,0.94683,0.9925,0.99083,0.75633,0.89452,0.40418,1.37601,0.000161,0.000161,0.000161
90,1220.95,0.68571,0.40981,1.13936,0.94775,0.98973,0.99083,0.74796,0.92431,0.40962,1.4055,0.000148625,0.000148625,0.000148625
91,1235.33,0.65531,0.33937,1.14199,0.94203,1,0.98833,0.75094,0.90431,0.39928,1.41633,0.00013625,0.00013625,0.00013625
92,1248.69,0.62425,0.31433,1.11719,0.94393,0.98715,0.98833,0.73863,0.8981,0.4046,1.38394,0.000123875,0.000123875,0.000123875
93,1262.43,0.60288,0.30662,1.10132,0.93295,0.97146,0.97125,0.74274,0.8973,0.39758,1.39178,0.0001115,0.0001115,0.0001115
94,1276.27,0.59158,0.30247,1.09378,0.93937,0.96099,0.97412,0.74017,0.89567,0.39501,1.41203,9.9125e-05,9.9125e-05,9.9125e-05
95,1289.63,0.59188,0.29793,1.09896,0.89582,0.99775,0.98442,0.74999,0.89389,0.40015,1.39274,8.675e-05,8.675e-05,8.675e-05
96,1303.35,0.57714,0.29444,1.08439,0.93712,0.97138,0.97516,0.75409,0.88382,0.38522,1.40339,7.4375e-05,7.4375e-05,7.4375e-05
97,1317.36,0.58116,0.29314,1.08733,0.96716,0.99539,0.99273,0.76087,0.88883,0.39246,1.39425,6.2e-05,6.2e-05,6.2e-05
98,1331.15,0.57475,0.29124,1.07463,0.96315,0.98686,0.99273,0.75577,0.88833,0.38306,1.4089,4.9625e-05,4.9625e-05,4.9625e-05
99,1344.9,0.56103,0.28944,1.07901,0.966,0.99287,0.99273,0.76041,0.87426,0.37798,1.38889,3.725e-05,3.725e-05,3.725e-05
100,1358.15,0.55761,0.28695,1.06528,0.96711,0.99694,0.99273,0.76427,0.87001,0.38003,1.38762,2.4875e-05,2.4875e-05,2.4875e-05
